record_id,actions
zimlex-2022-4a9e4bb4172a7be7c277,
zimlex-2022-2ab504179c6fdfaba6de,
zimlex-2022-346254360b3d044ee426,
zimlex-2022-72f59b434f4e3cbd1168,
zimlex-2022-80afa9d8442dd2755ee5,
zimlex-2022-980baaf9da6565aabc9e,
zimlex-2022-f5a6fac5e0eeacd29b4e,
zimlex-2022-2db9d0632c54eeedd3a0,
zimlex-2022-3e6d73dc0180615ecc70,
zimlex-2022-64a0e5fc55b987113c2e,cleared:division:non_high_court_record
zimlex-2022-a67df952b7813866e10d,
zimlex-2022-2f7150881de952896fa5,
zimlex-2022-5e284d0448436cab47f2,
zimlex-2022-50df89176da35ff1c382,
zimlex-2022-fdb5051c0d76911bc837,
zimlex-2022-940956420b5e788da7cd,
zimlex-2022-14c4609a2bc77685e401,
zimlex-2022-a676dc7b5d2c6f4cb8dc,
zimlex-2022-e214688d090182a2e632,
zimlex-2022-4d0975df668658a321a5,
zimlex-2022-7ad8dcc9185d73ff91df,
zimlex-2022-2129e30e7f2fb8c829e5,
zimlex-2022-aa397609e8dfeb649b7e,
zimlex-2022-baea083b95c92f082e7b,
zimlex-2022-9e4fdaf0c1f6114aa843,
zimlex-2022-285cee488e320cc1af41,
zimlex-2022-c13fe6129d33a1f576ce,
zimlex-2022-d1581534984af6134dc8,
zimlex-2022-cbd2bb9c60dfef013d42,
zimlex-2022-7a1fdcd6e94af4689dcf,
zimlex-2022-1f468476c728e6abb730,
zimlex-2022-67e714e8bfc8bd903f12,
zimlex-2022-05fb146601a222edf570,
zimlex-2022-0c01f1fc0f2f8f9f6315,
zimlex-2022-10a1f826aa505530de3f,
zimlex-2022-153560756235676ed02f,
zimlex-2022-f5b39a6d52c0af9db79b,
zimlex-2022-77114415f08d1b86acc3,
zimlex-2022-ad6be723a9232dcfe84f,
zimlex-2022-2e71792e738161c08348,
zimlex-2022-e8f51e613ffca90e0051,
zimlex-2022-fe942be64219b6b53236,
zimlex-2022-26450fb3b7823529b119,
zimlex-2022-d79d47fa6d0d3f60205b,
zimlex-2022-49cc4f5da73f2237a303,
zimlex-2022-3ef91d9ad57ea5ced9b1,
zimlex-2022-50b40cd73471913b5ad3,
zimlex-2022-79004d04f50434218c16,
zimlex-2022-70a5d4c36000e2b7bac5,
zimlex-2022-a17c058a321c457b1c55,
zimlex-2022-d46ef0ef125415aa656c,
zimlex-2022-e53e13d644a8c5a1fc4b,
zimlex-2022-129b9a655d0d39954370,
zimlex-2022-f0c276ad32b82fc51fc9,
zimlex-2022-07b3c2e3ea16c3cd4b24,
zimlex-2022-a67f0039070e5d3ef7ee,
zimlex-2022-babeff46bdfba2ae574a,
zimlex-2022-40009003ff09bbe6367c,
zimlex-2022-6972ae1c1bd13ffe8a2e,
zimlex-2022-c21f4ae958c97c42b728,
zimlex-2022-4ab4e660636867181eb5,
zimlex-2022-16800d358be38b225425,
zimlex-2022-deb88dd704319d8a9a13,
zimlex-2022-cf137ade44de6cfa774d,
zimlex-2022-3d16b0e1b35761ab5767,
zimlex-2022-f4e17dec519ebf2e6e47,
zimlex-2022-9d1b7b6f71d8f0f98a99,
zimlex-2022-101e960cb9d0c876de52,
zimlex-2022-1d52cc76c7062ad5b8ca,
zimlex-2022-31d3e204a498f03ccead,
zimlex-2022-aab41c4042295585156b,
zimlex-2022-bba7323c83d154324f5b,
zimlex-2022-b76536353980c2646bd3,
zimlex-2022-c0e6c709a0e45d265658,
zimlex-2022-addcaf8ef557cf5892b8,
zimlex-2022-49b40b553f90be37f173,
zimlex-2022-1552a6cdc7d819f301d6,
zimlex-2022-8e1f377c9894efb8213b,
zimlex-2022-4bb10ead65b4734f459e,
zimlex-2022-e8bf7e225e3f23b98708,
zimlex-2022-9ba00ae5333514d94cb2,
zimlex-2022-a4bcfb486f749cb20e21,
zimlex-2022-f23a079bbc231b6ce021,
zimlex-2022-a9fea463bcfe79112d8e,
zimlex-2022-1c676f7e1d09fc518f64,
zimlex-2022-0fc4789809b8de96e8bb,
zimlex-2022-29c969d985843fa22cb0,
zimlex-2022-9f585d508eec9c2f42a8,
zimlex-2022-98f10b722e15dc124304,
zimlex-2022-bf523e4997be67763757,
zimlex-2022-8b5c38ead1f00b7c43d6,
zimlex-2022-57c929eb92ccc8231ff1,
zimlex-2022-49bc593b9ed06f06d8ca,
zimlex-2022-c05e312d140e3d9487fd,
zimlex-2022-3e2b0caa97e6e5c6e915,
zimlex-2022-9f1bf0a2c8828e5cfc2d,
zimlex-2022-d5b5ce1f05ea4bfbf7c7,
zimlex-2022-bef4eb88c0801555883c,
zimlex-2022-8ba19d39107f8f2c66fd,
zimlex-2022-a18def32cb8bdac81646,
zimlex-2022-81a5486104e91deac9b4,
zimlex-2022-25d0242bceefc70917cd,
zimlex-2022-6331aa881f42a01fe2d1,
zimlex-2022-0d77fa17303029f8e152,
zimlex-2022-9ed12452cb1297242606,
zimlex-2022-16f0897f6444a95c6627,
zimlex-2022-190bfc0795ce1c7883e4,
zimlex-2022-f12193c3bda47d6d0c9a,
zimlex-2022-b71aad6925812e05c55a,
zimlex-2022-4533257235fe6c32670d,
zimlex-2022-befe92b41908bdaa0c87,
zimlex-2022-f572bd97355d81e57375,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-b764803c6524ce5dfd8b,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-97fd07b4079a38332f3c,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-6cf277f982411f86eb4a,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-420a54cf11d7a9310c1d,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-d52d22887700d5531180,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-cb8634f4d15b29e3d23e,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-65a306e6f6b3042120f8,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-d188a39bf6a4da25974c,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
