record_id,actions
zimlex-2022-8ae55dbbf060b20fc87a,filled:case_name:from_source_block; filled:court:from_source_block; filled:case_number:from_source_block; filled:judgment_number:from_source_block; filled:citation:from_source_block; filled:parties:from_source_block; filled:judges:from_source_block; filled:hearing_date:from_source_block; filled:judgment_date:from_source_block; filled:counsel_and_appearances:from_source_block; filled:subject_area:from_source_block; filled:catchwords_flynote:from_source_block; filled:headnote:from_source_block; filled:facts:from_source_block; filled:issues_for_determination:from_source_block; filled:legal_principles:from_source_block; filled:held_decision_points:from_source_block; filled:ratio_decidendi:from_source_block; filled:obiter_dicta_where_relevant:from_source_block; filled:cases_referred_to:from_source_block; filled:legislation_considered:from_source_block; filled:constitutional_provisions_considered:from_source_block; filled:procedural_history:from_source_block; filled:final_order:from_source_block; filled:approval_status:from_source_block; recomputed:judgment_number_prefix; recomputed:judgment_number_int; recomputed:subject_area_terms; recomputed:cases_referred_to_terms; recomputed:legislation_considered_terms; recomputed:constitutional_provisions_considered_terms
zimlex-2022-aff8b843d93b9a9b1a4f,
zimlex-2022-7b9bf9bfe714e2a2f227,
zimlex-2022-b4622a9fed583ff59efe,
zimlex-2022-94c3a56aaf3adb58c852,
zimlex-2022-2834b8259d0f025a534a,
zimlex-2022-21961d181c99d3386a73,
zimlex-2022-090aedbc464b83c3ee18,
zimlex-2022-73417cd8817fa9b687b8,
zimlex-2022-a7b72ec72b9e29d438c7,
zimlex-2022-16ada4c346d265f35dfc,
zimlex-2022-129d0445fd88a7f956b4,
zimlex-2022-2fd5f1c6af52d20f6482,
zimlex-2022-de6abcb4751383ea5784,
zimlex-2022-ebb10c8cb29ae78086f6,
zimlex-2022-54bcecfc937d2c836e4c,
zimlex-2022-8b8e603fd6f605cb2ac6,
zimlex-2022-6304bcea0c16d203f1c6,
zimlex-2022-eadf157c3bac42509282,
zimlex-2022-ddd3a66560965de52e47,
zimlex-2022-345de4c20250c6d63d65,
zimlex-2022-4264e45d30149626794f,
zimlex-2022-0182fa8441f8201e5a31,
zimlex-2022-3a8824eb8a4cf8595757,
zimlex-2022-72e999b74f94cb6a454e,
zimlex-2022-ea83b10f52a6a8888f83,
zimlex-2022-335572fbfa1b6803bf73,
zimlex-2022-436b5852bab13f1aeec8,
zimlex-2022-c15eff56df08ba37c168,
zimlex-2022-0ae222003b800d327c9c,
zimlex-2022-2fd97ac3326ae7e66632,
zimlex-2022-887d803116a512f544d4,
zimlex-2022-f439958cbb777c85cf07,
zimlex-2022-1df5dcde7663babf47bc,
zimlex-2022-d5f5132bd93f5c72269e,
zimlex-2022-a46e01e1b5ac9dcf61ed,
zimlex-2022-800fce8314c194b11847,
zimlex-2022-c4f3b5a9b68f82edba81,
zimlex-2022-12c3891842258dc023bf,
zimlex-2022-2eb607e599f3cf2e343e,
zimlex-2022-310782edaf492d5c9e8c,
zimlex-2022-c3c48035222686be50b9,
zimlex-2022-c29aa76b962ad87058ca,
zimlex-2022-6cdc63b298a8b4118d51,
zimlex-2022-7722e558a57931776650,
zimlex-2022-c5f736c27cf0b33c5219,
zimlex-2022-644b4c3f287cdab58908,
zimlex-2022-3b853e4c26004ff1012c,
zimlex-2022-b5a1250cf9c8558fddb7,
zimlex-2022-96b92a7d93b938ddcb2e,
zimlex-2022-57075f7f8c15767f4d4b,
zimlex-2022-3a60df8c3d18600f4953,
zimlex-2022-922b7e0a12ef2f5b85a6,
zimlex-2022-332f48b78a23770c71bf,
zimlex-2022-51628ff1da6713d88eee,
zimlex-2022-3592c14d5b432fea2184,
zimlex-2022-efd3370eef5675ccb088,
zimlex-2022-2a56b518ac71700ef6b8,
zimlex-2022-b84b8073fd91bc83eb73,
zimlex-2022-124678e8e1e51cbb67cf,
zimlex-2022-b8cacb324b0bf21889c3,
zimlex-2022-b258d48dd0968cca3876,
zimlex-2022-5a364465e43b04969577,
zimlex-2022-9bc843dffff7abe494e5,
zimlex-2022-4fa3b0d72153400b69bd,
zimlex-2022-d5e3d84232e058f4cd95,
zimlex-2022-77119342769eadc19a62,
zimlex-2022-3db30fdc7f7252c20961,
zimlex-2022-919707d23e83f6ad85ab,
zimlex-2022-1a948c8e01d6fb4790f7,
zimlex-2022-9fcc88d034df188efeec,
zimlex-2022-4d06e6227f868b25f11e,
zimlex-2022-602a89f643dd34fbeaf8,
zimlex-2022-7331828f1166c233a568,
zimlex-2022-aa391cd6b3769cb98b77,
zimlex-2022-45e4b50ebee46eb37d84,
zimlex-2022-ad12ca56df3e92cd7f23,
zimlex-2022-39d77b29a186e0ea7180,
zimlex-2022-f2b781daa0981566ec93,
zimlex-2022-0715ddd64981ed5e561c,
zimlex-2022-cd327da80025f4bf43f1,
zimlex-2022-f29f98a29542971bf2ae,
zimlex-2022-8e14676725ccef453c0f,
zimlex-2022-02814f6b577c351b9e53,
zimlex-2022-2e4f700e16dd4600425d,
zimlex-2022-650f07907fd678d23c79,
zimlex-2022-949a7839318802757c7f,
zimlex-2022-25dd0e87511ae6cab0aa,
zimlex-2022-bd03c9c2b63a924d37a0,
zimlex-2022-339846bd63b7580dfe4f,
zimlex-2022-f047d29a8e6b634c0b51,
zimlex-2022-a2890a3bd7df5727be72,
zimlex-2022-c83ef590ff1a019430e3,
zimlex-2022-c4252389753a8dd42449,
zimlex-2022-73ba6e3c4478590cbcd0,
zimlex-2022-0ab71ad367bd1bfb95d3,
zimlex-2022-9c7b4cdb08de49601050,
zimlex-2022-637b6af076cfd409899d,
zimlex-2022-f217cdf674d3f29ab24c,
zimlex-2022-ec07ffd683c807fa2454,
zimlex-2022-0afa7c62c280cca992f2,
zimlex-2022-7701147ff8b5f00af3e2,
zimlex-2022-e5d69dfebb91f08304c3,
zimlex-2022-8b53167629e28c72e0fd,
zimlex-2022-1583079b2cb79cc42cd7,
zimlex-2022-98d46ba9fdbf303c6837,
zimlex-2022-8849697bc7616af223d1,
zimlex-2022-3c24d0d96aa5f5a1618d,
zimlex-2022-619e8f7e238cab709c96,
zimlex-2022-d7ddf5e45e7c48b3fba6,
zimlex-2022-a6e95c18ac71f62cddeb,
zimlex-2022-cc5f6b2b56cb20f4b1bb,
zimlex-2022-325ea9db97fcd0c30f15,
zimlex-2022-3860475487c491546250,
zimlex-2022-6831c5b0b57da6b7be9d,
zimlex-2022-a41f3c8b91e5227f2bd3,
zimlex-2022-83d2b3ca3e491bf1816d,
zimlex-2022-10a62a36b6a22a1a26c5,
zimlex-2022-f358b2aaa0142b0db391,
zimlex-2022-79ee09dbfec59f56be72,
zimlex-2022-de8c65acda23fd5f993f,
zimlex-2022-4c5e3d8870386c2b7381,
zimlex-2022-e2a2125e8e981f4ef29c,
zimlex-2022-5567913851bf1619a849,
zimlex-2022-d6f7ed0c51ea0ff281c9,
zimlex-2022-71485e768cc9d07f31b3,
zimlex-2022-375be43764a0aa003e41,
zimlex-2022-fff951c40a7af4f21794,
zimlex-2022-d0df31d198d19053009d,
zimlex-2022-3801f9d5e31c431826ca,
zimlex-2022-00536f7bf29d823ad81f,
zimlex-2022-a9eb31cd9af800f93517,
zimlex-2022-06ba8346b6c94a54061b,
zimlex-2022-411890d1b5269d98d35b,
zimlex-2022-dd1d63d1cb35f89449e1,
zimlex-2022-a2fcf98d35dbe6d44eb9,
zimlex-2022-ea8e56a74535d46d813d,
zimlex-2022-4e1a1a7907b6dd94129c,
zimlex-2022-3d90afae6408456d264f,
zimlex-2022-942951195c651dfbed3d,
zimlex-2022-4ec1774aaa37f81a0d42,
zimlex-2022-a32bbb1abfabf0f243a1,
zimlex-2022-84f332379bee42d212be,
zimlex-2022-01a218f170bb6dc4947b,
zimlex-2022-846c318cc0557c376296,
zimlex-2022-dfef973074d8126b34ec,
zimlex-2022-a7ba5b1ce53c20f78186,
zimlex-2022-8894ab4d9fb1b91e6b6b,
zimlex-2022-a0fe5d734b606d2affaa,
zimlex-2022-5f16f79cae22281350b9,
zimlex-2022-9fd4ccea824b2d722709,
zimlex-2022-1fe21cec193486288fd6,
zimlex-2022-00663f3e0f9da8bbe9ee,
zimlex-2022-4a4e0d20fe3205a5a08e,
zimlex-2022-854340cefad660e7b3f3,
zimlex-2022-dba23e359121cc8c8d73,
zimlex-2022-5350457e97572e059b40,
zimlex-2022-5f924a42c3576475c93a,
zimlex-2022-55143d01e0f86a6cabf1,
zimlex-2022-94dd3876ae489778b215,
zimlex-2022-e85917322c5e72b1eb19,
zimlex-2022-9e68b8a0071eff0d61f0,
zimlex-2022-a8f648cca16c2eaeb428,
zimlex-2022-691b3773eb4b15140f0b,
zimlex-2022-92925d1644abab387a1c,
zimlex-2022-ea2866c8822aad8446aa,
zimlex-2022-b7505e79909a9d753c9a,
zimlex-2022-107372d5405227d00922,
zimlex-2022-64e8701ecb35ffc426f2,
zimlex-2022-5f1c0860c82adf086b44,
zimlex-2022-f09da2b83525a6d8a66e,
zimlex-2022-37af8c2dca3a5e829d22,
zimlex-2022-c93650b0d599edb9c8a8,
zimlex-2022-591200b901bc0dff4305,
zimlex-2022-642189e07581dc4a115c,
zimlex-2022-4c2881201ccdb5aebe83,
zimlex-2022-129c18b6392a156a953d,
zimlex-2022-5378b357362f3ba23988,
zimlex-2022-3de23779624a9a8cfd38,
zimlex-2022-719d36a4cfbd4c78fb88,
zimlex-2022-f6fb0a8e50c0d6fab78e,
zimlex-2022-729951e02010ca8fee89,
zimlex-2022-8258e1977d70d13ce150,
zimlex-2022-5f1ffb57579ba98c9705,
zimlex-2022-7715fa4c3b01814591ac,
zimlex-2022-b43144b4371c7beceb2b,
zimlex-2022-9c288a7a3643130958db,
zimlex-2022-03af4b5606647a25e71a,
zimlex-2022-4349bed065fd5d34ca64,
zimlex-2022-68f4de3bff1aa0d005da,
zimlex-2022-6eafd891fcbf44e0c7cc,
zimlex-2022-7fca43f8b03405e30ba6,
zimlex-2022-c7fe2bf8104a3912d249,
zimlex-2022-d0c96b3a84584d93fb02,
zimlex-2022-0d52c27f6bb149ded836,
zimlex-2022-fe5bf321595241b30758,
zimlex-2022-c0f31689747d02043442,
zimlex-2022-be0c117799de15999dcb,
zimlex-2022-5806f0d49175e43cc25a,
zimlex-2022-c8da7b7e30da0ed341b3,
zimlex-2022-212cd12cb1dfbbe31945,
zimlex-2022-9f04f5b50fea5a2e3067,
zimlex-2022-8da3bb259cf1641fa707,
zimlex-2022-c8d92b3c089440032dec,
zimlex-2022-7544a17928b0f5d767f8,
zimlex-2022-f3cf6719c439a7e2620b,
zimlex-2022-ee4f2d71b5a315a8b6d0,
zimlex-2022-36afd465e76233b00441,
zimlex-2022-4c6b2868e0b61e390bd7,
zimlex-2022-d5ab93c7b174bf95c448,
zimlex-2022-694a9b0eea543a749d6c,
zimlex-2022-2fb4583219a499b8e7ea,
zimlex-2022-b62dfc0b3e1385451e5a,
zimlex-2022-ce316e5ff7cb8c7b02b6,
zimlex-2022-98738328bd1de75f9bf5,
zimlex-2022-eae2dbe56531ad6b3a6c,
zimlex-2022-26aa6068da5d76e8231e,
zimlex-2022-b88492a78134761a0f1d,
zimlex-2022-d14d6346916420625adc,
zimlex-2022-ef0a2aa2f9f19a287c1e,
zimlex-2022-bb95b49cfc067ea23604,
zimlex-2022-172f68e76882017ef2e4,
zimlex-2022-c66ecab2570c9f6ff565,
zimlex-2022-44fcbf314ae491f857fc,
zimlex-2022-7af2319cc57d250b9332,
zimlex-2022-14cf0043e52827fabc7f,
zimlex-2022-c7dc0222e925d04cdf2d,
zimlex-2022-2a6d70efb4583a76f935,
zimlex-2022-dacb9ea35615289ba000,
zimlex-2022-0caa6a98d9c7f2105355,
zimlex-2022-145ca7aa06bad10d7d6c,
zimlex-2022-6c85851524e93b7e2336,
zimlex-2022-66884ab835e077118743,
zimlex-2022-9f22fefbc998edf65e9b,
zimlex-2022-938fdf1324f1b9711f79,
zimlex-2022-c32ddd95b42e3e8abb38,
zimlex-2022-f3c09dc45d6f36e9332b,
zimlex-2022-cde1b15d8ed57c6dffb2,
zimlex-2022-d4eb58cb1e38cf673cfc,
zimlex-2022-d56b17c0b0643c19e3db,
zimlex-2022-073ca0aef54a5bfdff46,
zimlex-2022-2e5b31c403431e868577,
zimlex-2022-873b8e01adc32ee3424f,
zimlex-2022-eb08e74a5e9901d1ea81,
zimlex-2022-33268a7a3c30b9b39d49,
zimlex-2022-2f982d1038d84d6b5504,
zimlex-2022-bcbf161ea4ced3db0ab0,
zimlex-2022-245985ad479aeb28aeb7,
zimlex-2022-8df7ff885c3eabb89ad5,
zimlex-2022-24e487c5bf20e3d55ab0,
zimlex-2022-861ff86613a9df5fbacb,
zimlex-2022-9d9504bce57372168bf1,
zimlex-2022-e3efb86107176916bee6,
zimlex-2022-073525f5b31c6ee75faf,
zimlex-2022-ad62bab1c36892e7bb45,
zimlex-2022-83f038eaf3bb7bdc379c,
zimlex-2022-3bf35511a2db91bcede4,
zimlex-2022-a59050c6b87db0652bad,
zimlex-2022-97839f3fda7785864a67,
zimlex-2022-6e6d0ec9afa2ebd89bef,
zimlex-2022-59d10b6556789309626f,
zimlex-2022-5645f90c2ad82ea64769,
zimlex-2022-779d27e41970e3bd633f,
zimlex-2022-2e87f95dd4c085b2ffe4,
zimlex-2022-b577e0ecec7b50b1165f,
zimlex-2022-7f8beaa0d2a47fcf2216,
zimlex-2022-c5c7a242af7a9d383eba,
zimlex-2022-e401fc9107ce467897d7,
zimlex-2022-42332781fc970e3b54e7,
zimlex-2022-d6d23c10902d351298b9,
zimlex-2022-410724c5fbb0070c59fc,
zimlex-2022-71b85e5fdc2b1e02cf85,
zimlex-2022-5346fa45a02e3467425e,
zimlex-2022-c9eb1a7d073fd9dc84b3,
zimlex-2022-8db6ee62d0236f3e8d23,
zimlex-2022-db1a99c746bd693bf26e,
zimlex-2022-8cd33a5b5606d54dfcda,
zimlex-2022-8b18c0bff18c2941014c,
zimlex-2022-4d9d9a12976e1cfcd260,
zimlex-2022-609350c3e915c40f1b34,
zimlex-2022-9468d92424aa6cb08d4d,
zimlex-2022-2d3c6e92db0649022dc4,
zimlex-2022-1793f9e309d817611333,
zimlex-2022-234d41160b180bf2cce4,
zimlex-2022-8b8633a2dfa0f724c43c,
zimlex-2022-441c1af3bd4687d05ae1,
zimlex-2022-a51475d144063b75aac8,
zimlex-2022-4330aefbe9cd3a8be00d,
zimlex-2022-ad15a7a6ce4b3641eb3c,
zimlex-2022-18cfc5e2778e678d701d,
zimlex-2022-e6309a35ab650e41bab6,
zimlex-2022-ab195b8600534ccb9797,
zimlex-2022-83e6262efbe482ba2c1e,
zimlex-2022-f45bc4bfa3128d24c473,
zimlex-2022-bae7bdfe131e623a1a19,
zimlex-2022-6daac7c92d23c478d276,
zimlex-2022-241fdc45dfba98698e50,
zimlex-2022-a2dd829f3d1788a4def1,
zimlex-2022-c717a0e1b86e00d4c248,
zimlex-2022-ee3c9e5d12499888c2f9,
zimlex-2022-045133dc7069efc570a2,
zimlex-2022-7fb245962057d06109ee,
zimlex-2022-1f8d2123404de8a04ddd,
zimlex-2022-3e3a6c07d5bc32fd4b8d,
zimlex-2022-fad620569a958c51f097,
zimlex-2022-9a43149084b81f81c33d,
zimlex-2022-a6f9e56ea70e4cff094f,
zimlex-2022-738992583762705f226b,
zimlex-2022-82376949b4885a72c426,
zimlex-2022-ee5b6c111316ac081b3a,
zimlex-2022-41d6323070809735ec97,
zimlex-2022-59ee2c18f35c653dad2a,
zimlex-2022-d07f5b882df1b35dcc59,
zimlex-2022-6dd48bbab59563291f7f,
zimlex-2022-3e7ed40927056463757e,
zimlex-2022-2071df4c94e68444bb92,
zimlex-2022-1b66e3e04b2008471790,
zimlex-2022-fcf01d26b1c042908d80,
zimlex-2022-d6c134632d151b78a205,
zimlex-2022-7be6f40d622dbfd224fd,
zimlex-2022-7ee2d7c6ae6c9dd3b0ed,
zimlex-2022-0eeb7ffd62ced3f65d08,
zimlex-2022-35727c157c03569c3238,
zimlex-2022-0fc49d413ed109048c11,
zimlex-2022-3e113d27798d9adf35ae,
zimlex-2022-9ee04ca9df924fd643b3,
zimlex-2022-617ca9a6843951dcb6b0,
zimlex-2022-c272d429dafc8f1e77ea,
zimlex-2022-9d3a55273fc54921c1b6,
zimlex-2022-427a924eb5798760e79f,
zimlex-2022-9849d8e8302a6ba99078,
zimlex-2022-f624332f5b2b76911ef1,
zimlex-2022-629d667948460dadd530,
zimlex-2022-2b19366e9d10d56bbf00,
zimlex-2022-b49c55e9c359d6fff33d,
zimlex-2022-1613215c441ab6ce12c2,
zimlex-2022-34a4ac37101c99526ec1,
zimlex-2022-02fb20385a171743f900,
zimlex-2022-e82822ddb3cf25fa0c44,
zimlex-2022-0bede8b11f01e0b8e5f4,
zimlex-2022-d92fce1af65efab7daf0,
zimlex-2022-3ad7d0839496b3956e8a,
zimlex-2022-e467c9d20cb230028d17,filled:approval_status:derived_from_law_report_draft
zimlex-2022-fa6fdbfcc88a79d45087,filled:approval_status:derived_from_law_report_draft
zimlex-2022-87e7d558f5f5ed5f1011,filled:approval_status:derived_from_law_report_draft
zimlex-2022-50298ec31d2dbbb98365,
zimlex-2022-fcee205d698ce5a07f22,filled:approval_status:derived_from_law_report_draft
zimlex-2022-2d912c702faf920d62a4,
zimlex-2022-5b4a3c19fed56f9746c2,
zimlex-2022-dc9d8e93b86aa3665432,
zimlex-2022-fafe9980617a0e35012b,filled:approval_status:derived_from_law_report_draft
zimlex-2022-da5f56f2be8a82c212ea,filled:approval_status:derived_from_law_report_draft
zimlex-2022-de9bd2c3093c1d6943ee,filled:approval_status:derived_from_law_report_draft
zimlex-2022-2f08e558226b308a6cc5,
zimlex-2022-671e10f7971a1633752c,
zimlex-2022-def1214bb4165d6e854e,
zimlex-2022-176dbda99df20236dbcb,
zimlex-2022-356379ec9f9663e5677c,
zimlex-2022-55548fc2d82bb6519571,
zimlex-2022-30c525476012dce63ffa,
zimlex-2022-b0c5ad8e9880adf5c530,
zimlex-2022-421a4d2ee486d5cc248e,
zimlex-2022-fd55461e485253a3c7c2,
zimlex-2022-06781e54540c201c3d00,
zimlex-2022-cfd81e8af475797486e4,
zimlex-2022-289f039b43a892a9abb1,
zimlex-2022-437b9847b9a31ccc8ab2,
zimlex-2022-1d0856aa0b6b5e55bffd,
zimlex-2022-09caddcd36cf0f057c7f,
zimlex-2022-585b74796d5a54d54c70,
zimlex-2022-411569368be0e1177038,
zimlex-2022-8a27f010b162a4fdc931,
zimlex-2022-461080b0651574f6842f,
zimlex-2022-c10f7526ef0873be93c8,
zimlex-2022-650d8ddf5bb244016751,
zimlex-2022-95198cdbee7066b3e7a4,
zimlex-2022-216d966ccee64416c8cb,
zimlex-2022-54a258753f8eeeae1942,
zimlex-2022-4a437428d7276e84730a,
zimlex-2022-5b4c07f9d65a73d98063,
zimlex-2022-b066e5add980b9068cc5,
zimlex-2022-92bb19b0d675d43308e3,
zimlex-2022-88e0c9709776913b87e7,
zimlex-2022-4215c9fcfd0d97bdf8db,
zimlex-2022-67c28f251326a16fe4c6,
zimlex-2022-d7d12d9484bf47b43f1a,
zimlex-2022-e963abb970b457fe08f7,
zimlex-2022-d5d6de80657f48116507,
zimlex-2022-6f0896619919a93d1c06,
zimlex-2022-2a841e938ac2aa46d4c4,
zimlex-2022-e01fd77b6032f93d10cb,
zimlex-2022-5120b7d77f51f0d77d17,
zimlex-2022-1f28b084c0a89b46ef63,
zimlex-2022-0f8235790c1d88d43547,
zimlex-2022-ce0cb07042f7376fcb65,
zimlex-2022-36c1c367873b33e267f0,
zimlex-2022-b6fa5085042b7c6233ba,
zimlex-2022-c7e925b5d8bb4ec56ac2,
zimlex-2022-e41f34cc0eb5fb961f7c,
zimlex-2022-50480d5b97aff6dfe466,
zimlex-2022-993c4f8f71d0180f2d26,cleared:division:non_high_court_record
zimlex-2022-122b7daa0aaa8c431fa4,cleared:division:non_high_court_record
